Source,Target,Weight
宋江,李逵,442
宋江,戴宗,371
宋江,吴用,332
宋江,花荣,285
宋江,晁盖,268
宋江,梁山,186
宋江,张顺,163
宋江,秦明,161
宋江,武松,146
宋江,朱仝,124
宋江,林冲,116
宋江,梁山泊,112
宋江,呼延,112
宋江,柴进,109
宋江,太公,89
宋江,雷横,84
宋江,公孙胜,83
宋江,杨雄,77
宋江,庄客,74
宋江,石秀,74
宋江,徐宁,56
宋江,史进,51
宋江,卢俊义,41
宋江,杨志,33
梁山,宋江,186
梁山,李逵,94
梁山,晁盖,70
梁山,石秀,62
梁山,呼延,62
梁山,戴宗,43
梁山,杨雄,42
梁山,吴用,40
梁山,卢俊义,39
梁山,张顺,37
梁山,梁中书,35
梁山,林冲,28
梁山,武松,20
太公,宋江,89
太公,庄客,42
太公,朱仝,21
史进,宋江,51
史进,鲁智深,33
史进,吴用,26
史进,庄客,23
史进,花荣,21
庄客,宋江,74
庄客,林冲,57
庄客,柴进,44
庄客,晁盖,44
庄客,太公,42
庄客,史进,23
庄客,朱仝,21
庄客,和尚,20
鲁智深,史进,33
鲁智深,和尚,28
鲁智深,林冲,25
和尚,石秀,187
和尚,杨雄,87
和尚,杨志,74
和尚,林冲,44
和尚,鲁智深,28
和尚,晁盖,26
和尚,庄客,20
林冲,柴进,157
林冲,晁盖,122
林冲,宋江,116
林冲,吴用,81
林冲,庄客,57
林冲,杨志,57
林冲,和尚,44
林冲,花荣,41
林冲,秦明,39
林冲,呼延,30
林冲,李逵,29
林冲,梁山,28
林冲,公孙胜,26
林冲,卢俊义,26
林冲,鲁智深,25
林冲,梁山泊,21
柴进,林冲,157
柴进,李逵,130
柴进,宋江,109
柴进,朱仝,74
柴进,庄客,44
柴进,吴用,39
柴进,雷横,21
梁山泊,宋江,112
梁山泊,戴宗,35
梁山泊,石秀,29
梁山泊,吴用,28
梁山泊,呼延,26
梁山泊,晁盖,23
梁山泊,林冲,21
梁山泊,朱仝,20
梁山泊,杨志,20
杨志,梁中书,118
杨志,和尚,74
杨志,林冲,57
杨志,武松,42
杨志,宋江,33
杨志,吴用,26
杨志,呼延,25
杨志,梁山泊,20
梁中书,杨志,118
梁中书,梁山,35
梁中书,卢俊义,23
朱仝,雷横,294
朱仝,李逵,225
朱仝,吴用,169
朱仝,宋江,124
朱仝,柴进,74
朱仝,晁盖,64
朱仝,庄客,21
朱仝,太公,21
朱仝,卢俊义,21
朱仝,梁山泊,20
雷横,朱仝,294
雷横,晁盖,110
雷横,宋江,84
雷横,李逵,79
雷横,吴用,71
雷横,柴进,21
雷横,卢俊义,21
晁盖,宋江,268
晁盖,吴用,154
晁盖,林冲,122
晁盖,雷横,110
晁盖,梁山,70
晁盖,朱仝,64
晁盖,李逵,60
晁盖,公孙胜,45
晁盖,庄客,44
晁盖,戴宗,37
晁盖,花荣,26
晁盖,和尚,26
晁盖,梁山泊,23
吴用,宋江,332
吴用,朱仝,169
吴用,晁盖,154
吴用,李逵,154
吴用,林冲,81
吴用,卢俊义,81
吴用,雷横,71
吴用,花荣,65
吴用,戴宗,64
吴用,公孙胜,48
吴用,秦明,41
吴用,梁山,40
吴用,柴进,39
吴用,张顺,35
吴用,梁山泊,28
吴用,杨志,26
吴用,徐宁,26
吴用,史进,26
吴用,呼延,25
公孙胜,李逵,172
公孙胜,戴宗,96
公孙胜,宋江,83
公孙胜,吴用,48
公孙胜,晁盖,45
公孙胜,林冲,26
公孙胜,花荣,20
王婆,潘金莲,250
王婆,武松,108
武松,施恩,318
武松,潘金莲,226
武松,宋江,146
武松,王婆,108
武松,杨志,42
武松,呼延,21
武松,梁山,20
武松,卢俊义,20
潘金莲,王婆,250
潘金莲,武松,226
施恩,武松,318
花荣,宋江,285
花荣,秦明,130
花荣,吴用,65
花荣,林冲,41
花荣,呼延,29
花荣,李逵,28
花荣,晁盖,26
花荣,史进,21
花荣,公孙胜,20
秦明,宋江,161
秦明,花荣,130
秦明,呼延,49
秦明,吴用,41
秦明,林冲,39
戴宗,李逵,550
戴宗,宋江,371
戴宗,公孙胜,96
戴宗,吴用,64
戴宗,石秀,46
戴宗,梁山,43
戴宗,张顺,40
戴宗,晁盖,37
戴宗,杨雄,37
戴宗,梁山泊,35
张顺,宋江,163
张顺,李逵,81
张顺,戴宗,40
张顺,梁山,37
张顺,吴用,35
李逵,戴宗,550
李逵,宋江,442
李逵,朱仝,225
李逵,公孙胜,172
李逵,吴用,154
李逵,柴进,130
李逵,梁山,94
李逵,张顺,81
李逵,雷横,79
李逵,晁盖,60
李逵,卢俊义,59
李逵,林冲,29
李逵,花荣,28
李逵,石秀,22
杨雄,石秀,385
杨雄,和尚,87
杨雄,宋江,77
杨雄,梁山,42
杨雄,戴宗,37
石秀,杨雄,385
石秀,和尚,187
石秀,宋江,74
石秀,梁山,62
石秀,戴宗,46
石秀,卢俊义,34
石秀,梁山泊,29
石秀,李逵,22
呼延,宋江,112
呼延,梁山,62
呼延,秦明,49
呼延,林冲,30
呼延,花荣,29
呼延,梁山泊,26
呼延,吴用,25
呼延,杨志,25
呼延,武松,21
徐宁,宋江,56
徐宁,吴用,26
卢俊义,吴用,81
卢俊义,李逵,59
卢俊义,宋江,41
卢俊义,梁山,39
卢俊义,石秀,34
卢俊义,林冲,26
卢俊义,梁中书,23
卢俊义,朱仝,21
卢俊义,雷横,21
卢俊义,武松,20
